id,kanji,hiragana,meaning
word_251,会社,かいしゃ,회사
word_252,返す,かえす,반환하다
word_253,貸す,かす,빌려주다
word_254,家族,かぞく,가족
word_255,体,からだ,몸
word_256,考える,かんがえる,생각하다
word_257,気分,きぶん,기분
word_258,急に,きゅうに,갑자기
word_259,去年,きょねん,작년
word_260,銀行,ぎんこう,은행
word_261,空気,くうき,공기
word_262,計画,けいかく,계획
word_263,見物,けんぶつ,구경
word_264,工業,こうぎょう,공업
word_265,午後,ごご,오후
word_266,今年,ことし,올해
word_267,今度,こんど,이번
word_268,会話,かいわ,회화
word_269,帰る,かえる,돌아가다
word_270,風,かぜ,바람
word_271,通う,かよう,다니다
word_272,借りる,かりる,빌리다
word_273,切手,きって,우표
word_274,着物,きもの,옷, 일본 옷
word_275,教室,きょうしつ,교실
word_276,着る,きる,입다
word_277,近所,きんじょ,근처
word_278,黒い,くろい,검다
word_279,研究,けんきゅう,연구
word_280,公園,こうえん,공원
word_281,工場,こうじょう,공장
word_282,答える,こたえる,대답하다
word_283,米,こめ,쌀
word_284,魚,さかな,물고기, 생선
word_285,時代,じだい,시대
word_286,自転車,じてんしゃ,자전거
word_287,品物,しなもの,물건
word_288,閉める,しめる,닫다
word_289,仕事,しごと,일
word_290,質問,しつもん,질문
word_291,自分,じぶん,자기, 자신
word_292,死ぬ,しぬ,죽다
word_293,写真,しゃしん,사진
word_294,写真家,しゃしんか,사진가
word_295,住所,じゅうしょ,주소
word_296,主人,しゅじん,남편, 주인
word_297,食事,しょくじ,식사
word_298,食料品,しょくりょうひん,식료품
word_299,親切だ,しんせつだ,친절하다
word_300,世界,せかい,세계
word_301,祖母,そぼ,조모, 할머니
word_302,社長,しゃちょう,사장
word_303,十分,じゅうぶん,충분히
word_304,出発,しゅっぱつ,출발
word_305,食堂,しょくどう,식당
word_306,人口,じんこう,인구
word_307,住む,すむ,살다
word_308,世話,せわ,도와줌, 보살핌
word_309,空,そら,하늘
word_310,大使,たいし,대사
word_311,台所,だいどころ,부엌
word_312,建物,たてもの,건물
word_313,足りない,たりない,부족하다
word_314,近い,ちかい,가깝다
word_315,力,ちから,힘
word_316,茶色,ちゃいろ,갈색
word_317,使う,つかう,사용하다
word_318,出口,でぐち,출구
word_319,電話代,でんわだい,전화 요금
word_320,特に,とくに,특히
word_321,図書館,としょかん,도서관
word_322,鳥,とり,새
word_323,大切だ,たいせつだ,중요하다
word_324,台風,たいふう,태풍
word_325,楽しい,たのしい,즐겁다
word_326,足りる,たりる,충분하다
word_327,地下鉄,ちかてつ,지하철
word_328,地図,ちず,지도
word_329,注意,ちゅうい,주의
word_330,強い,つよい,강하다
word_331,店員,てんいん,점원
word_332,動物,どうぶつ,동물
word_333,特別だ,とくべつだ,특별하다
word_334,止まる,とまる,멈추다
word_335,夏,なつ,여름
word_336,何度も,なんども,몇 번이고
word_337,習う,ならう,배우다
word_338,西,にし,서쪽
word_339,走る,はしる,달리다
word_340,母親,ははおや,모친
word_341,春,はる,봄
word_342,広い,ひろい,넓다
word_343,古い,ふるい,낡다, 오래되다
word_344,便利だ,べんりだ,편리하다
word_345,働く,はたらく,일하다
word_346,早く,はやく,일찍, 빨리
word_347,病院,びょういん,병원
word_348,服,ふく,옷
word_349,部屋,へや,방
word_350,毎朝,まいあさ,매일 아침
word_351,待つ,まつ,기다리다
word_352,町,まち,도시, 마을
word_353,店,みせ,가게
word_354,野菜,やさい,채소
word_355,夕飯,ゆうはん,저녁밥
word_356,洋服,ようふく,양복, 옷
word_357,夜,よる,밤
word_358,安い,やすい,싸다, 저렴하다
word_359,用意,ようい,준비
word_360,予定,よてい,예정
word_361,来週,らいしゅう,다음주
word_362,旅行,りょこう,여행
word_363,料理,りょうり,요리
word_364,悪い,わるい,나쁘다
word_365,間,あいだ,사이, 동안
word_366,秋,あき,가을
word_367,味,あじ,맛
word_368,以外,いがい,이외
word_369,医者,いしゃ,의사
word_370,急ぐ,いそぐ,서두르다
word_371,以内,いない,이내
word_372,動きだす,うごきだす,움직이기 시작하다
word_373,写す,うつす,베끼다, 찍다
word_374,運転,うんてん,운전
word_375,映画,えいが,영화
word_376,お医者さん,おいしゃさん,의사 선생님
word_377,屋上,おくじょう,옥상
word_378,行う,おこなう,행하다
word_379,お兄さん,おにいさん,형, 오빠
word_380,泳ぐ,およぐ,헤엄치다
word_381,音楽,おんがく,음악
word_382,赤い,あかい,빨갛다
word_383,開ける,あける,열다
word_384,姉,あね,언니, 누나
word_385,意見,いけん,의견
word_386,以上,いじょう,이상
word_387,一週間,いっしゅうかん,일주일간
word_388,入口,いりぐち,입구
word_389,歌,うた,노래
word_390,海,うみ,바다
word_391,運動,うんどう,운동
word_392,駅,えき,역
word_393,多い,おおい,많다
word_394,送る,おくる,보내다
word_395,弟,おとうと,남동생
word_396,思い出す,おもいだす,떠올리다, 생각해 내다
word_397,終わる,おわる,끝나다
