id,kanji,hiragana,meaning
word_104,知る,しる,알다
word_105,出発,しゅっぱつ,출발
word_106,食堂,しょくどう,식당
word_107,人口,じんこう,인구
word_108,新聞社,しんぶんしゃ,신문사
word_109,好きだ,すきだ,좋아하다
word_110,進む,すすむ,진행되다
word_111,世界,せかい,세계
word_112,世話,せわ,도움, 보살핌
word_113,社会,しゃかい,사회
word_114,小説,しょうせつ,소설
word_115,食料品,しょくりょうひん,식료품
word_116,親切だ,しんせつだ,친절하다
word_117,水道,すいどう,수도
word_118,少し,すこし,조금
word_119,西洋,せいよう,서양
word_120,説明,せつめい,설명
word_121,祖母,そぼ,조모, 할머니
word_122,大使館,たいしかん,대사관
word_123,建物,たてもの,건물
word_124,足りる,たりる,충분하다
word_125,茶色,ちゃいろ,갈색
word_126,中止,ちゅうし,중지
word_127,着く,つく,도착하다
word_128,強い,つよい,강하다
word_129,店員,てんいん,점원
word_130,遠く,とおく,멀리
word_131,都会,とかい,도시
word_132,図書館,としょかん,도서관
word_133,止まる,とまる,멈추다
word_134,台所,だいどころ,부엌
word_135,楽しい,たのしい,즐겁다
word_136,力,ちから,힘
word_137,注意,ちゅうい,주의
word_138,地理,ちり,지리
word_139,都合,つごう,사정
word_140,手紙,てがみ,편지
word_141,遠い,とおい,멀다
word_142,通る,とおる,지나다
word_143,特別だ,とくべつだ,특별하다
word_144,特急,とっきゅう,특급
word_145,鳥,とり,새
word_146,夏,なつ,여름
word_147,日記,にっき,일기
word_148,二台,にだい,2대, 두 대
word_149,乗る,のる,타다
word_150,運ぶ,はこぶ,운반하다, 옮기다
word_151,場所,ばしょ,장소
word_152,働く,はたらく,일하다
word_153,花,はな,꽃
word_154,早く,はやく,일찍, 빨리
word_155,光る,ひかる,빛나다
word_156,病院,びょういん,병원
word_157,広い,ひろい,넓다
word_158,不便だ,ふべんだ,불편하다
word_159,古い,ふるい,오래되다, 낡다
word_160,文学,ぶんがく,문학
word_161,始める,はじめる,시작하다
word_162,走る,はしる,달리다
word_163,発音,はつおん,발음
word_164,春,はる,봄
word_165,光,ひかり,빛
word_166,低い,ひくい,낮다
word_167,昼,ひる,낮
word_168,服,ふく,옷
word_169,冬,ふゆ,겨울
word_170,文,ぶん,문장
word_171,勉強,べんきょう,공부
word_172,毎朝,まいあさ,매일 아침
word_173,待つ,まつ,기다리다
word_174,短い,みじかい,짧다
word_175,村,むら,마을
word_176,持てる,もてる,들 수 있다
word_177,門,もん,문
word_178,町,まち,시내, 도시
word_179,間に合う,まにあう,시간에 맞추다
word_180,港,みなと,항구
word_181,目,め,눈
word_182,森,もり,숲
word_183,野菜,やさい,채소
word_184,有名だ,ゆうめいだ,유명하다
word_185,予定,よてい,예정
word_186,弱い,よわい,약하다
word_187,夕方,ゆうがた,저녁때
word_188,洋服,ようふく,양복, 옷
word_189,夜,よる,밤
word_190,旅行,りょこう,여행
word_191,悪い,わるい,나쁘다
word_192,別れる,わかれる,헤어지다
word_193,明るい,あかるい,밝다
word_194,開ける,あける,열다
word_195,頭,あたま,머리
word_196,暑さ,あつさ,더위
word_197,姉,あね,언니, 누나
word_198,安心,あんしん,안심
word_199,池,いけ,연못
word_200,石,いし,돌
word_201,急ぐ,いそぐ,서두르다
word_202,妹,いもうと,여동생
word_203,動く,うごく,움직이다
word_204,歌う,うたう,노래를 부르다
word_205,英語,えいご,영어
word_206,送る,おくる,보내다
word_207,終わる,おわる,끝나다
word_208,会場,かいじょう,회장
word_209,火事,かじ,화재
word_210,風,かぜ,바람
word_211,方,かた,분
word_212,体,からだ,몸
word_213,代わり,かわり,대신
word_214,北区,きたく,기타구(지명)
word_215,決まる,きまる,결정되다
word_216,急に,きゅうに,급히, 갑자기
word_217,去年,きょねん,작년
word_218,近所,きんじょ,근처
word_219,首,くび,목
word_220,黒い,くろい,검다
word_221,経験,けいけん,경험
word_222,研究,けんきゅう,연구
word_223,工場,こうじょう,공장
word_224,声,こえ,목소리
word_225,今度,こんど,이번, 다음
word_226,帰る,かえる,돌아가다
word_227,貸す,かす,빌려주다
word_228,家族,かぞく,가족
word_229,通う,かよう,다니다
word_230,軽い,かるい,가볍다
word_231,考える,かんがえる,생각하다
word_232,気分,きぶん,기분
word_233,着物,きもの,옷, 일본 옷
word_234,教室,きょうしつ,교실
word_235,銀行,ぎんこう,은행
word_236,薬,くすり,약
word_237,暗い,くらい,어둡다
word_238,計画,けいかく,계획
word_239,県,けん,현(행정구역)
word_240,公園,こうえん,공원
word_241,氷,こおり,얼음
word_242,答える,こたえる,대답하다
word_243,産業,さんぎょう,산업
word_244,仕事,しごと,일
word_245,自転車,じてんしゃ,자전거
word_246,死ぬ,しぬ,죽다
word_247,試合,しあい,시합
word_248,質問,しつもん,질문
word_249,品物,しなもの,물건
word_250,市民,しみん,시민
