id,kanji,hiragana,meaning
word_705,負ける,まける,지다
word_706,メニュー,めにゅー,메뉴
word_707,見つかる,みつかる,발견되다
word_708,珍しい,めずらしい,희귀하다, 드물다
word_709,約束,やくそく,약속
word_710,夢,ゆめ,꿈
word_711,喜ぶ,よろこぶ,기뻐하다, 즐거워하다
word_712,家賃,やちん,집세
word_713,予約,よやく,예약
word_714,理由,りゆう,이유
word_715,留守,るす,집을 비움, 부재중
word_716,レジ,れじ,금전 출납계, 계산대
word_717,利用,りよう,이용
word_718,冷房,れいぼう,냉방
word_719,レンジ,れんじ,전자레인지
word_720,割れる,われる,깨지다
word_721,浅い,あさい,얕다
word_722,案内,あんない,안내
word_723,意見,いけん,의견
word_724,一生懸命,いっしょうけんめい,열심히
word_725,薄い,うすい,얇다
word_726,産む,うむ,낳다
word_727,往復,おうふく,왕복
word_728,覚える,おぼえる,외우다, 기억하다
word_729,思い出,おもいで,추억
word_730,お礼,おれい,사례, 감사 인사
word_731,アンケート,あんけーと,설문 조사
word_732,安全だ,あんぜんだ,안전하다
word_733,以上,いじょう,이상
word_734,受付,うけつけ,접수, 접수처
word_735,移る,うつる,옮다
word_736,営業,えいぎょう,영업
word_737,落とす,おとす,떨어뜨리다
word_738,お土産,おみやげ,기념품
word_739,折る,おる,접다
word_740,硬い,かたい,딱딱하다
word_741,片付ける,かたづける,정리하다
word_742,通う,かよう,다니다
word_743,決める,きめる,정하다
word_744,具合,ぐあい,상태
word_745,経験,けいけん,경험
word_746,喧嘩,けんか,싸움
word_747,細かい,こまかい,잘다
word_748,怖い,こわい,무섭다
word_749,形,かたち,형태
word_750,カッター,かったー,커터칼
word_751,厳しい,きびしい,엄격하다
word_752,急行,きゅうこう,급행
word_753,比べる,くらべる,비교하다
word_754,結果,けっか,결과
word_755,故障,こしょう,고장
word_756,込む,こむ,붐비다
word_757,探す,さがす,찾다
word_758,寂しい,さびしい,쓸쓸하다
word_759,残念だ,ざんねんだ,아쉽다
word_760,習慣,しゅうかん,습관
word_761,十分,じゅうぶん,충분히
word_762,紹介,しょうかい,소개
word_763,将来,しょうらい,장래
word_764,スイッチ,すいっち,스위치
word_765,進む,すすむ,나아가다
word_766,説明,せつめい,설명
word_767,世話,せわ,보살핌
word_768,育てる,そだてる,키우다
word_769,誘う,さそう,권하다
word_770,触る,さわる,만지다
word_771,叱る,しかる,야단치다
word_772,自由に,じゆうに,자유롭게
word_773,種類,しゅるい,종류
word_774,招待,しょうたい,초대
word_775,心配,しんぱい,걱정
word_776,過ぎる,すぎる,지나다
word_777,捨てる,すてる,버리다
word_778,ぜひ,ぜひ,꼭
word_779,センチ,せんち,센티미터
word_780,大事だ,だいじだ,중요하다
word_781,足りない,たりない,부족하다
word_782,遅刻,ちこく,지각
word_783,中止,ちゅうし,중지
word_784,都合,つごう,형편
word_785,伝える,つたえる,전하다
word_786,手伝う,てつだう,돕다
word_787,届く,とどく,도착하다
word_788,取り替える,とりかえる,바꾸다
word_789,頼む,たのむ,부탁하다
word_790,チェック,ちぇっく,체크
word_791,注意,ちゅうい,주의
word_792,貯金,ちょきん,저금
word_793,包む,つつむ,싸다
word_794,丁寧だ,ていねいだ,정중하다
word_795,とうとう,とうとう,드디어
word_796,止まる,とまる,멈추다
word_797,どんどん,どんどん,점점
word_798,治る,なおる,낫다
word_799,慣れる,なれる,익숙해지다
word_800,苦い,にがい,쓰다
word_801,匂い,におい,냄새
word_802,人気,にんき,인기
word_803,値段,ねだん,가격
word_804,寝坊,ねぼう,늦잠
word_805,眠い,ねむい,졸리다
word_806,残る,のこる,남다
word_807,喉,のど,목
word_808,乗り換える,のりかえる,갈아타다
word_809,はさみ,はさみ,가위
word_810,貼る,はる,붙이다
word_811,引っ越し,ひっこし,이사
word_812,深い,ふかい,깊다
word_813,翻訳,ほんやく,번역
word_814,はっきり,はっきり,분명히
word_815,復習,ふくしゅう,복습
word_816,必要だ,ひつようだ,필요하다
word_817,ポスター,ぽすたー,포스터
