id,kanji,hiragana,meaning
word_588,間に合う,まにあう,시간에 맞추다
word_589,持つ,もつ,들다, 지니다
word_590,役,やく,역할, 구실
word_591,有名だ,ゆうめいだ,유명하다
word_592,洋服,ようふく,양복, 옷
word_593,山道,やまみち,산길
word_594,用事,ようじ,볼일, 용무
word_595,夜,よる,밤
word_596,旅行,りょこう,여행
word_597,別れる,わかれる,헤어지다
word_598,会う,あう,만나다
word_599,赤い,あかい,빨갛다
word_600,秋,あき,가을
word_601,開く,あく,열리다
word_602,新しい,あたらしい,새롭다
word_603,兄,あに,형, 오빠
word_604,歩く,あるく,걷다
word_605,言う,いう,말하다
word_606,医学,いがく,의학
word_607,妹,いもうと,여동생
word_608,入口,いりぐち,입구
word_609,写す,うつす,베끼다, 찍다
word_610,売る,うる,팔다
word_611,駅,えき,역
word_612,起きる,おきる,일어나다
word_613,教える,おしえる,가르치다
word_614,同じだ,おなじだ,같다
word_615,重い,おもい,무겁다
word_616,終わる,おわる,끝나다
word_617,青い,あおい,파랗다
word_618,明るい,あかるい,밝다
word_619,空く,あく,비다
word_620,朝,あさ,아침
word_621,集まる,あつまる,모이다
word_622,姉,あね,언니, 누나
word_623,安心,あんしん,안심
word_624,急ぐ,いそぐ,서두르다
word_625,意見,いけん,의견
word_626,意味,いみ,의미, 뜻
word_627,色,いろ,색
word_628,生まれる,うまれる,태어나다
word_629,映画,えいが,영화
word_630,多い,おおい,많다
word_631,送る,おくる,보내다
word_632,お茶,おちゃ,차
word_633,お姉さん,おねえさん,언니, 누나, 누님
word_634,思い出す,おもいだす,떠올리다, 생각해 내다
word_635,音楽,おんがく,음악
word_636,買う,かう,사다
word_637,帰る,かえる,돌아가다
word_638,家族,かぞく,가족
word_639,借りる,かりる,빌리다
word_640,急行,きゅうこう,급행
word_641,去年,きょねん,작년
word_642,暗い,くらい,어둡다
word_643,黒い,くろい,검다
word_644,月曜日,げつようび,월요일
word_645,工業,こうぎょう,공업
word_646,校長,こうちょう,교장
word_647,帰り,かえり,귀갓길
word_648,貸す,かす,빌려주다
word_649,紙,かみ,종이
word_650,考え方,かんがえかた,사고방식
word_651,急に,きゅうに,갑자기
word_652,銀行,ぎんこう,은행
word_653,来る,くる,오다
word_654,今朝,けさ,오늘 아침
word_655,研究会,けんきゅうかい,연구회
word_656,工場,こうじょう,공장
word_657,作文,さくぶん,작문
word_658,仕事,しごと,일
word_659,品物,しなもの,물건
word_660,出席,しゅっせき,출석
word_661,親切だ,しんせつだ,친절하다
word_662,席,せき,자리
word_663,十分,じゅうぶん,충분히
word_664,辞書,じしょ,사전
word_665,死ぬ,しぬ,죽다
word_666,知る,しる,알다
word_667,世界,せかい,세계
word_668,世話,せわ,도와줌, 보살핌
word_669,大使館,たいしかん,대사관
word_670,台風,たいふう,태풍
word_671,立つ,たつ,서다
word_672,近い,ちかい,가깝다
word_673,地図,ちず,지도
word_674,着く,つく,도착하다
word_675,出る,でる,나가다
word_676,通り,とおり,길
word_677,鳥,とり,새
word_678,大事だ,だいじだ,중요하다
word_679,正しい,ただしい,바르다
word_680,足りる,たりる,충분하다
word_681,力,ちから,힘
word_682,注意,ちゅうい,주의
word_683,作る,つくる,만들다
word_684,店員,てんいん,점원
word_685,時計,とけい,시계
word_686,荷物,にもつ,짐
word_687,飲む,のむ,마시다
word_688,売店,ばいてん,매점
word_689,始まる,はじまる,시작되다
word_690,発音,はつおん,발음
word_691,早く,はやく,일찍, 빨리
word_692,病院,びょういん,병원
word_693,昼ごろ,ひるごろ,정오 무렵
word_694,広場,ひろば,광장
word_695,古い,ふるい,낡다, 오래되다
word_696,勉強,べんきょう,공부
word_697,運ぶ,はこぶ,운반하다, 옮기다
word_698,働く,はたらく,일하다
word_699,花,はな,꽃
word_700,春,はる,봄
word_701,昼ご飯,ひるごはん,점심밥
word_702,広い,ひろい,넓다
word_703,冬,ふゆ,겨울
word_704,部屋,へや,방
