id,kanji,hiragana,meaning
word_818,役に立つ,やくにたつ,도움이 되다
word_819,やっと,やっと,겨우
word_820,柔らかい,やわらかい,부드럽다
word_821,予約,よやく,예약
word_822,約束,やくそく,약속
word_823,やっぱり,やっぱり,역시
word_824,用意,ようい,준비
word_825,よる,よる,들르다
word_826,来週,らいしゅう,다음 주
word_827,理由,りゆう,이유
word_828,レジ,れじ,계산대
word_829,連絡,れんらく,연락
word_830,利用,りよう,이용
word_831,ルール,るーる,규칙
word_832,レポート,れぽーと,리포트
word_833,アルバイト,あるばいと,아르바이트
word_834,安全だ,あんぜんだ,안전하다
word_835,いくら～ても,いくら～ても,아무리 ~해도
word_836,一軒,いっけん,한 채
word_837,植える,うえる,심다
word_838,売る,うる,팔다
word_839,お祝い,おいわい,축하 선물
word_840,遅れる,おくれる,늦다
word_841,お釣り,おつり,거스름돈
word_842,おもちゃ,おもちゃ,장난감
word_843,折れる,おれる,부러지다
word_844,案内,あんない,안내
word_845,以下,いか,이하
word_846,以上,いじょう,이상
word_847,行ってまいります,いってまいります,다녀오겠습니다
word_848,打つ,うつ,치다
word_849,うるさい,うるさい,시끄럽다
word_850,屋上,おくじょう,옥상
word_851,お大事に,おだいじに,몸조리 잘하세요
word_852,お土産,おみやげ,선물
word_853,おや,おや,어머
word_854,会場,かいじょう,회장
word_855,飾る,かざる,장식하다
word_856,壁,かべ,벽
word_857,噛む,かむ,씹다
word_858,関係,かんけい,관계
word_859,危険だ,きけんだ,위험하다
word_860,気分,きぶん,기분
word_861,興味,きょうみ,흥미
word_862,鏡,かがみ,거울
word_863,固い,かたい,딱딱하다
word_864,かまいません,かまいません,상관없습니다
word_865,乾く,かわく,마르다
word_866,機会,きかい,기회
word_867,技術,ぎじゅつ,기술
word_868,競争,きょうそう,경쟁
word_869,比べる,くらべる,비교하다
word_870,ゲーム,げーむ,게임
word_871,郊外,こうがい,교외
word_872,細かい,こまかい,잘다
word_873,喧嘩,けんか,싸움
word_874,心,こころ,마음
word_875,怖い,こわい,무섭다
word_876,坂,さか,언덕
word_877,差す,さす,쓰다
word_878,触る,さわる,만지다
word_879,叱られる,しかられる,혼나다
word_880,失礼だ,しつれいだ,무례하다
word_881,邪魔,じゃま,방해
word_882,習慣,しゅうかん,습관
word_883,準備,じゅんび,준비
word_884,将来,しょうらい,장래
word_885,～制,～せい,제도
word_886,相談する,そうだんする,상담하다
word_887,そろそろ,そろそろ,슬슬
word_888,探す,さがす,찾다
word_889,さっき,さっき,아까
word_890,残念だ,ざんねんだ,아쉽다
word_891,失敗,しっぱい,실패
word_892,調べる,しらべる,조사하다
word_893,邪魔になる,じゃまになる,방해가 되다
word_894,十分だ,じゅうぶんだ,충분하다
word_895,招待,しょうたい,초대
word_896,スイッチ,すいっち,스위치
word_897,生産,せいさん,생산
word_898,それに,それに,게다가
word_899,大事だ,だいじだ,중요하다
word_900,だから,だから,그래서
word_901,足す,たす,더하다
word_902,足りない,たりない,부족하다
word_903,チケット,ちけっと,티켓
word_904,中止,ちゅうし,중지
word_905,高い,たかい,비싸다
word_906,確かだ,たしかだ,확실하다
word_907,出す,だす,내다
word_908,暖房,だんぼう,난방
word_909,チャンス,ちゃんす,기회
word_910,貯金,ちょきん,저금
word_911,伝える,つたえる,전하다
word_912,とうとう,とうとう,드디어
word_913,止める,とめる,멈추다
word_914,直す,なおす,고치다
word_915,なるべく,なるべく,가능한 한
word_916,苦い,にがい,쓰다
word_917,匂い,におい,냄새
word_918,熱心だ,ねっしんだ,열심이다
word_919,寝坊,ねぼう,늦잠
word_920,眠い,ねむい,졸리다
word_921,喉,のど,목
word_922,運ぶ,はこぶ,운반하다
word_923,パソコン,ぱそこん,컴퓨터
word_924,パートタイム,ぱーとたいむ,파트타임
word_925,冷える,ひえる,차가워지다
word_926,深い,ふかい,깊다
word_927,貿易,ぼうえき,무역
word_928,翻訳,ほんやく,번역
word_929,恥ずかしい,はずかしい,부끄럽다
word_930,番組,ばんぐみ,프로그램
word_931,引き出し,ひきだし,서랍
word_932,拾う,ひろう,줍다
word_933,踏まれる,ふまれる,밟히다
word_934,放送,ほうそう,방송
word_935,または,または,또는
word_936,見つかる,みつかる,발견되다
word_937,珍しい,めずらしい,희귀하다
word_938,まっすぐ,まっすぐ,곧바로
word_939,迎える,むかえる,맞이하다
