id,kanji,hiragana,meaning
word_398,夏,なつ,여름
word_399,日記,にっき,일기
word_400,習う,ならう,배우다
word_401,入院,にゅういん,입원
word_402,運ぶ,はこぶ,운반하다, 옮기다
word_403,発音,はつおん,발음
word_404,昼ご飯,ひるごはん,점심밥
word_405,冬,ふゆ,겨울
word_406,走る,はしる,달리다
word_407,林,はやし,숲
word_408,船,ふね,배
word_409,待つ,まつ,기다리다
word_410,野菜,やさい,채소
word_411,夜,よる,밤
word_412,予定,よてい,예정
word_413,弱い,よわい,약하다
word_414,料理,りょうり,요리
word_415,旅館,りょかん,여관
word_416,赤い,あかい,빨갛다
word_417,暑い,あつい,덥다
word_418,兄,あに,형, 오빠
word_419,以下,いか,이하
word_420,妹,いもうと,여동생
word_421,売る,うる,팔다
word_422,映画,えいが,영화
word_423,屋上,おくじょう,옥상
word_424,弟,おとうと,남동생
word_425,朝,あさ,아침
word_426,集まる,あつまる,모이다
word_427,姉,あね,언니, 누나
word_428,医者,いしゃ,의사
word_429,動く,うごく,움직이다
word_430,運動,うんどう,운동
word_431,営業,えいぎょう,영업
word_432,音,おと,소리
word_433,重い,おもい,무겁다
word_434,帰る,かえる,돌아가다
word_435,軽い,かるい,가볍다
word_436,決まる,きまる,결정되다
word_437,暗い,くらい,어둡다
word_438,計画,けいかく,계획
word_439,工場,こうじょう,공장
word_440,氷,こおり,얼음
word_441,貸す,かす,빌려주다
word_442,帰国,きこく,귀국
word_443,空港,くうこう,공항
word_444,黒い,くろい,검다
word_445,経験,けいけん,경험
word_446,声,こえ,목소리
word_447,交通,こうつう,교통
word_448,寒い,さむい,춥다
word_449,質問,しつもん,질문
word_450,閉める,しめる,닫다
word_451,食堂,しょくどう,식당
word_452,女性,じょせい,여성
word_453,白い,しろい,하얗다, 희다
word_454,好きだ,すきだ,좋아하다
word_455,説明,せつめい,설명
word_456,試合,しあい,시합
word_457,自動車,じどうしゃ,자동차
word_458,出発,しゅっぱつ,출발
word_459,食料品,しょくりょうひん,식료품
word_460,調べる,しらべる,조사하다
word_461,親切だ,しんせつだ,친절하다
word_462,進む,すすむ,나아가다
word_463,建てる,たてる,세우다
word_464,作る,つくる,만들다
word_465,特別だ,とくべつだ,특별하다
word_466,閉じる,とじる,닫다
word_467,注意,ちゅうい,주의
word_468,遠い,とおい,멀다
word_469,鳥,とり,새
