id,kanji,hiragana,meaning
word_1,青い,あおい,파랗다
word_2,赤い,あかい,빨갛다
word_3,味,あじ,맛
word_4,洗う,あらう,씻다
word_5,安心,あんしん,안심
word_6,以外,いがい,이외
word_7,意見,いけん,의견
word_8,以上,いじょう,이상
word_9,一度,いちど,한번
word_10,糸,いと,실
word_11,色,いろ,색
word_12,歌,うた,노래
word_13,写す,うつす,베끼다・찍다
word_14,海,うみ,바다
word_15,売る,うる,팔다
word_16,売れる,うれる,팔리다・팔 수 있다
word_17,運転,うんてん,운전
word_18,運動,うんどう,운동
word_19,営業,えいぎょう,영업
word_20,駅員,えきいん,역무원
word_21,行う,おこなう,행하다
word_22,教える,おしえる,가르치다
word_23,押す,おす,누르다・밀다
word_24,お姉さん,おねえさん,언니・누나
word_25,重い,おもい,무겁다
word_26,親指,おやゆび,엄지 손가락
word_27,会場,かいじょう,회장
word_28,顔,かお,얼굴
word_29,数える,かぞえる,세다
word_30,紙,かみ,종이
word_31,体,からだ,몸
word_32,軽い,かるい,가볍다
word_33,考える,かんがえる,생각하다
word_34,切手,きって,우표
word_35,決まる,きまる,결정되다
word_36,急行,きゅうこう,급행
word_37,銀色,ぎんいろ,은색
word_38,近所,きんじょ,근처
word_39,区,く,구
word_40,空港,くうこう,공항
word_41,薬,くすり,약
word_42,雲,くも,구름
word_43,暗い,くらい,어둡다
word_44,研究,けんきゅう,연구
word_45,工事,こうじ,공사
word_46,氷,こおり,얼음
word_47,工場,こうじょう,공장
word_48,心,こころ,마음
word_49,答える,こたえる,대답하다
word_50,今度,こんど,이번・다음
word_51,最近,さいきん,최근
word_52,最後,さいご,최후・마지막
word_53,寒い,さむい,춥다
word_54,皿,さら,접시
word_55,自転車,じてんしゃ,자전거
word_56,住所,じゅうしょ,주소
word_57,出発,しゅっぱつ,출발
word_58,食料品,しょくりょうひん,식료품
word_59,女性,じょせい,여성
word_60,白い,しろい,하얗다・희다
word_61,進む,すすむ,나아가다・진행되다
word_62,生産,せいさん,생산
word_63,世界,せかい,세계
word_64,楽しい,たのしい,즐겁다
word_65,足りる,たりる,충분하다
word_66,近い,ちかい,가깝다
word_67,地理,ちり,지리
word_68,使う,つかう,사용하다
word_69,着く,つく,도착하다
word_70,机,つくえ,책상
word_71,都合,つごう,사정・형편
word_72,強い,つよい,강하다
word_73,遠い,とおい,멀다
word_74,通る,とおる,지나다
word_75,都会,とかい,도시
word_76,特別だ,とくべつだ,특별하다
word_77,夏,なつ,여름
word_78,習う,ならう,배우다
word_79,何枚,なんまい,몇 매・몇 장
word_80,二台,にだい,두 대
word_81,入院,にゅういん,입원
word_82,眠い,ねむい,졸리다
word_83,眠る,ねむる,자다
word_84,乗る,のる,타다
word_85,春,はる,봄
word_86,早い,はやい,빠르다
word_87,反対,はんたい,반대
word_88,光る,ひかる,빛나다
word_89,引く,ひく,당기다
word_90,広い,ひろい,넓다
word_91,太い,ふとい,굵다
word_92,船,ふね,배
word_93,冬,ふゆ,겨울
word_94,不便だ,ふべんだ,불편하다
word_95,待つ,まつ,기다리다
word_96,持つ,もつ,들다・가지다
word_97,野菜,やさい,채소
word_98,用事,ようじ,볼일・용무
word_99,予習,よしゅう,예습
word_100,予定,よてい,예정
word_101,予報,よほう,예보
word_102,弱い,よわい,약하다
word_103,利用,りよう,이용
